chulNo,hrSex,hrAge,hrWeight,hrWeightVariation,rcType,rcClass,rcDist,rcHrUnit,chaksunT,chaksunY,chaksun_6m,hrOrd1CntT,hrOrd1CntY,hrOrd2CntT,hrOrd2CntY,hrRcCntT,hrRcCntY,hrWgBudam,track,weather,meanTemperature ,minimumTemperature,miTime,maximumTemperature ,maxTime,dailyPrecipitation,maxWindspeed,meanWindspeed,maxWindspeedDirection,jkAge,jkWgOther,jkWgPart,jkRcCntT,jkOrd1CntT,jkOrd2CntT,jkRcCntY,jkOrd1CntY,jkOrd2CntY,trAge,trRcCntT,trOrd1CntT,trOrd2CntT,trRcCntY,trOrd1CntY,trOrd2CntY,rcResult
2,gelding,6,478,1,Special,M_open,2000,10,15400000,15400000,15400000,0,0,0,0,8,8,57,good,cloudy,20,16.3,442,25.9,1524,0,5.8,1.4,222.2,48,54,54,6334,678,714,163,22,26,54,"4,464",364,392,267,13,14,fail
3,gelding,8,488,-3,Special,M_open,2000,10,228945000,3600000,3600000,2,0,7,0,54,10,57,good,cloudy,20,16.3,442,25.9,1524,0,5.8,1.4,222.2,25,49,49,202,12,10,202,12,10,59,"3,781",261,316,299,26,23,fail
4,stallion,6,492,-10,Special,M_open,2000,10,306400000,19400000,19400000,1,0,0,0,10,7,57,good,cloudy,20,16.3,442,25.9,1524,0,5.8,1.4,222.2,29,51,51,1680,115,120,521,30,39,54,"4,464",364,392,267,13,14,fail
5,stallion,5,447,-1,Special,M_open,2000,10,240505000,143700000,8100000,3,1,6,5,25,11,57,good,cloudy,20,16.3,442,25.9,1524,0,5.8,1.4,222.2,35,49,49,677,77,54,369,39,28,38,841,76,96,271,29,40,fail
6,gelding,6,534,-8,Special,M_open,2000,10,212735000,28800000,3600000,3,0,1,0,38,11,57,good,cloudy,20,16.3,442,25.9,1524,0,5.8,1.4,222.2,33,51,51,1335,50,61,62,1,0,61,"9,850",886,953,294,25,22,fail
7,stallion,6,522,-3,Special,M_open,2000,10,414990000,295500000,149600000,4,4,9,3,41,11,57,good,cloudy,20,16.3,442,25.9,1524,0,5.8,1.4,222.2,50,51,51,13375,2001,1833,602,60,61,53,"1,950",204,157,286,33,26,pass
8,stallion,5,514,2,Special,M_open,2000,10,400350000,151800000,93500000,4,1,7,2,30,10,57,good,cloudy,20,16.3,442,25.9,1524,0,5.8,1.4,222.2,34,52,52,4440,688,593,476,80,57,47,"1,938",177,190,468,42,40,pass
9,mare,6,429,-6,Special,M_open,2000,10,829510000,115300000,8800000,12,1,7,0,39,10,55,good,cloudy,20,16.3,442,25.9,1524,0,5.8,1.4,222.2,38,53,53,4873,613,604,264,39,43,51,"3,093",278,325,345,34,31,fail
10,gelding,5,507,-4,Special,M_open,2000,10,83600000,83600000,0,1,1,1,1,4,4,57,good,cloudy,20,16.3,442,25.9,1524,0,5.8,1.4,222.2,27,49,49,96,6,6,96,6,6,58,8,2,1,8,2,1,fail
1,stallion,4,505,-2,general,MG3,1400,12,98350000,98350000,22950000,1,1,4,4,12,10,57,good,cloudy,20,16.3,442,25.9,1524,0,5.8,1.4,222.2,29,52,52,2319,334,244,7,0,0,41,26,0,2,26,0,2,pass
2,stallion,4,503,-8,general,MG3,1400,12,96350000,53550000,29750000,1,0,2,1,17,11,55,good,cloudy,20,16.3,442,25.9,1524,0,5.8,1.4,222.2,22,49,49,276,28,21,276,28,21,45,552,67,64,245,32,36,fail
3,stallion,3,479,-4,general,MG3,1400,12,65700000,65700000,51950000,0,0,4,4,8,8,52,good,cloudy,20,16.3,442,25.9,1524,0,5.8,1.4,222.2,35,53,53,6332,1282,965,588,140,113,49,459,53,32,199,28,14,fail
4,stallion,3,491,-3,general,MG3,1400,12,93500000,93500000,55550000,2,2,0,0,8,8,55,good,cloudy,20,16.3,442,25.9,1524,0,5.8,1.4,222.2,39,50,50,41,3,2,41,3,2,49,"2,735",219,230,253,15,24,fail
5,stallion,3,476,-1,general,MG3,1400,12,49600000,49600000,49600000,1,1,1,1,7,7,51,good,cloudy,20,16.3,442,25.9,1524,0,5.8,1.4,222.2,50,51,51,13375,2001,1833,602,60,61,51,"3,093",278,325,345,34,31,pass
6,gelding,5,471,-7,general,MG3,1400,12,63620000,0,0,1,0,1,0,16,4,53,good,cloudy,20,16.3,442,25.9,1524,0,5.8,1.4,222.2,25,52,52,1126,51,88,438,25,37,53,"1,950",204,157,286,33,26,fail
7,stallion,4,479,3,general,MG3,1400,12,61600000,53900000,46200000,1,1,1,1,10,8,52.5,good,cloudy,20,16.3,442,25.9,1524,0,5.8,1.4,222.2,37,53,53,5525,675,639,268,35,40,50,"2,100",202,192,20,2,1,pass
8,stallion,3,462,-3,general,MG3,1400,12,48550000,48550000,43050000,0,0,3,3,8,8,52,good,cloudy,20,16.3,442,25.9,1524,0,5.8,1.4,222.2,30,52,52,2728,206,209,554,44,47,61,"8,703",885,882,244,25,21,fail
9,stallion,6,511,-4,general,MG3,1400,12,140802000,16550000,9550000,3,0,2,0,23,8,53.5,good,cloudy,20,16.3,442,25.9,1524,0,5.8,1.4,222.2,51,52,52,4654,281,370,87,2,2,60,"8,760",762,813,305,33,36,fail
10,stallion,3,512,1,general,MG3,1400,12,43400000,43400000,24150000,0,0,3,3,6,6,52,good,cloudy,20,16.3,442,25.9,1524,0,5.8,1.4,222.2,24,51,52,1101,141,134,447,56,49,47,"1,938",177,190,468,42,40,fail
11,gelding,4,506,-2,general,MG3,1400,12,159850000,87150000,87150000,4,2,3,1,15,6,57,good,cloudy,20,16.3,442,25.9,1524,0,5.8,1.4,222.2,27,49,49,96,6,6,96,6,6,56,"5,983",725,675,336,34,29,fail
12,gelding,4,427,-9,general,MG3,1400,12,60200000,60200000,40950000,1,1,1,1,18,12,52,good,cloudy,20,16.3,442,25.9,1524,0,5.8,1.4,222.2,34,52,52,4440,688,593,476,80,57,61,"6,649",532,573,157,12,7,fail
1,stallion,5,449,0,general,KG4,1200,9,95400000,9800000,0,1,0,2,0,33,10,57.5,good,cloudy,20,16.3,442,25.9,1524,0,5.8,1.4,222.2,27,49,49,96,6,6,96,6,6,49,"2,096",189,181,225,15,15,fail
2,stallion,4,436,0,general,KG4,1200,9,66520000,33400000,25400000,2,1,0,0,28,15,51,good,cloudy,20,16.3,442,25.9,1524,0,5.8,1.4,222.2,24,51,51,149,2,10,149,2,10,40,939,81,79,307,19,25,fail
3,mare,4,517,19,general,KG4,1200,9,75350000,75350000,75350000,3,3,0,0,8,5,54,good,cloudy,20,16.3,442,25.9,1524,0,5.8,1.4,222.2,50,51,51,13375,2001,1833,602,60,61,57,"5,237",702,571,289,41,27,fail
4,mare,5,452,4,general,KG4,1200,9,99590000,11000000,0,2,0,2,0,30,11,52,good,cloudy,20,16.3,442,25.9,1524,0,5.8,1.4,222.2,34,52,52,4440,688,593,476,80,57,36,"1,144",177,100,281,43,26,fail
5,mare,3,468,-4,general,KG4,1200,9,83200000,83200000,37000000,3,3,1,1,8,8,52,good,cloudy,20,16.3,442,25.9,1524,0,5.8,1.4,222.2,24,51,52,1101,141,134,447,56,49,60,"8,760",762,813,305,33,36,pass
6,mare,3,487,-11,general,KG4,1200,9,174750000,174750000,105000000,3,3,3,3,10,10,53.5,good,cloudy,20,16.3,442,25.9,1524,0,5.8,1.4,222.2,41,53,53,2400,271,274,247,29,27,49,"2,735",219,230,253,15,24,pass
7,mare,4,470,7,general,KG4,1200,9,76500000,32450000,30250000,3,1,0,0,8,3,53.5,good,cloudy,20,16.3,442,25.9,1524,0,5.8,1.4,222.2,36,53,53,2456,175,210,159,13,19,58,"7,176",668,732,241,27,28,fail
8,mare,9,441,-2,general,KG4,1200,9,115229000,12100000,4400000,2,0,2,0,79,15,52,good,cloudy,20,16.3,442,25.9,1524,0,5.8,1.4,222.2,25,52,52,1126,51,88,438,25,37,59,"3,781",261,316,299,26,23,fail
9,mare,4,456,4,general,KG4,1200,9,81200000,36600000,11400000,1,0,7,4,20,11,51,good,cloudy,20,16.3,442,25.9,1524,0,5.8,1.4,222.2,35,49,49,677,77,54,369,39,28,50,"2,100",202,192,20,2,1,pass
1,stallion,4,449,-8,general,KG6,1000,10,6200000,6200000,5200000,0,0,1,1,11,9,57.5,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,24,51,52,1101,141,134,447,56,49,49,"2,096",189,181,225,15,15,fail
2,mare,3,477,3,general,KG6,1000,10,11800000,11800000,11800000,0,0,1,1,6,6,55,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,27,49,49,96,6,6,96,6,6,52,598,40,43,147,8,10,pass
3,stallion,3,455,5,general,KG6,1000,10,2000000,2000000,2000000,0,0,0,0,5,5,56,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,22,49,49,309,42,31,309,42,31,54,"3,777",330,351,270,24,21,fail
4,stallion,3,483,2,general,KG6,1000,10,3600000,3600000,3600000,0,0,0,0,5,5,56,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,35,53,53,6332,1282,965,588,140,113,49,"4,004",301,308,176,11,7,fail
5,gelding,4,449,-12,general,KG6,1000,10,0,0,0,0,0,0,0,3,3,56.5,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,35,49,49,677,77,54,369,39,28,57,"5,237",702,571,289,41,27,fail
6,mare,3,441,17,general,KG6,1000,10,1600000,1600000,1600000,0,0,0,0,5,5,54,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,25,52,52,1177,85,65,255,19,15,52,"3,267",337,318,250,27,28,fail
7,stallion,3,473,-12,general,KG6,1000,10,2400000,2400000,0,0,0,0,0,2,2,53,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,25,49,49,202,12,10,202,12,10,58,8,2,1,8,2,1,pass
8,stallion,3,518,10,general,KG6,1000,10,5100000,5100000,5100000,0,0,0,0,2,2,56.5,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,38,53,53,4873,613,604,264,39,43,61,"6,649",532,573,157,12,7,pass
9,stallion,3,430,5,general,KG6,1000,10,1000000,1000000,1000000,0,0,0,0,4,4,56,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,29,52,52,1513,90,122,233,11,13,40,578,46,41,215,18,14,fail
11,stallion,3,489,-2,general,KG6,1000,10,0,0,0,0,0,0,0,2,2,56,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,26,51,51,1041,59,57,211,14,13,56,"5,983",725,675,336,34,29,fail
12,stallion,3,468,-4,general,KG6,1000,10,3600000,3600000,3600000,0,0,0,0,2,2,52,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,24,51,51,149,2,10,149,2,10,40,939,81,79,307,19,25,fail
1,gelding,3,446,5,general,KG6,1200,9,0,0,0,0,0,0,0,4,4,56,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,36,53,53,2456,175,210,159,13,19,58,"7,176",668,732,241,27,28,fail
2,mare,3,437,0,general,KG6,1200,9,0,0,0,0,0,0,0,3,3,54,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,35,49,49,677,77,54,369,39,28,41,26,0,2,26,0,2,pass
3,gelding,3,457,0,general,KG6,1200,9,13500000,13500000,10000000,0,0,1,1,4,4,57,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,27,49,49,96,6,6,96,6,6,56,"5,983",725,675,336,34,29,pass
4,mare,3,411,1,general,KG6,1200,9,0,0,0,0,0,0,0,1,1,54,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,49,52,52,7328,515,591,297,14,15,61,"8,146",724,827,198,14,10,fail
5,mare,3,437,6,general,KG6,1200,9,0,0,0,0,0,0,0,4,4,52,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,22,49,49,276,28,21,276,28,21,49,"3,079",228,259,300,29,23,fail
6,stallion,3,463,-16,general,KG6,1200,9,0,0,0,0,0,0,0,0,0,56,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,25,52,52,1126,51,88,438,25,37,52,995,96,113,187,22,22,pass
7,mare,3,460,-1,general,KG6,1200,9,0,0,0,0,0,0,0,5,5,54,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,26,51,51,1041,59,57,211,14,13,57,"5,237",702,571,289,41,27,fail
8,stallion,3,459,-6,general,KG6,1200,9,0,0,0,0,0,0,0,4,4,52,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,24,51,51,149,2,10,149,2,10,50,"2,100",202,192,20,2,1,fail
9,stallion,3,429,2,general,KG6,1200,9,5600000,5600000,5600000,0,0,0,0,2,2,56.5,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,29,52,52,2319,334,244,7,0,0,40,578,46,41,215,18,14,fail
10,gelding,3,448,-6,general,KG6,1200,9,0,0,0,0,0,0,0,1,1,56,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,39,50,50,41,3,2,41,3,2,54,"3,777",330,351,270,24,21,fail
2,mare,3,430,3,general,KG6,1300,8,800000,800000,800000,0,0,0,0,8,8,54,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,33,51,51,629,23,30,53,0,2,60,"7,982",693,700,152,6,6,fail
3,stallion,3,432,2,general,KG6,1300,8,3000000,3000000,3000000,0,0,0,0,5,5,56,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,29,52,52,2319,334,244,7,0,0,41,26,0,2,26,0,2,pass
4,mare,3,484,0,general,KG6,1300,8,1000000,1000000,1000000,0,0,0,0,5,5,54,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,39,50,50,41,3,2,41,3,2,61,"8,146",724,827,198,14,10,fail
5,mare,3,0,0,general,KG6,1300,8,5000000,5000000,5000000,0,0,1,1,6,6,54,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,35,53,53,6332,1282,965,588,140,113,52,"1,224",97,105,163,13,14,fail
6,mare,4,405,13,general,KG6,1300,8,7100000,7100000,7100000,0,0,0,0,8,7,54.5,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,34,52,52,4440,688,593,476,80,57,49,"2,096",189,181,225,15,15,fail
7,mare,4,447,6,general,KG6,1300,8,7900000,7900000,4400000,0,0,0,0,14,10,54.5,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,50,51,51,13375,2001,1833,602,60,61,53,"1,637",128,134,216,10,10,fail
8,gelding,4,455,3,general,KG6,1300,8,3500000,3500000,1000000,0,0,0,0,12,8,56.5,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,42,53,53,3147,254,266,128,8,9,40,939,81,79,307,19,25,fail
9,stallion,3,505,-9,general,KG6,1300,8,14000000,14000000,8400000,0,0,0,0,6,6,56,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,35,49,49,677,77,54,369,39,28,56,"10,382",794,924,342,12,25,pass
1,mare,4,440,-7,general,KG5,1000,11,52100000,33200000,0,2,1,0,0,14,9,52.5,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,30,52,52,2728,206,209,554,44,47,38,841,76,96,271,29,40,fail
2,stallion,3,488,-3,general,KG5,1000,11,22300000,22300000,22300000,0,0,2,2,7,7,53.5,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,35,53,53,6332,1282,965,588,140,113,56,"10,382",794,924,342,12,25,fail
3,mare,4,490,-2,general,KG5,1000,11,14200000,6750000,5250000,0,0,2,1,10,6,52,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,42,53,53,3147,254,266,128,8,9,47,"4,190",275,361,201,11,20,fail
4,mare,4,459,-7,general,KG5,1000,11,57950000,54450000,1600000,1,1,3,3,17,12,52,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,51,52,52,4654,281,370,87,2,2,60,"8,760",762,813,305,33,36,fail
5,gelding,4,492,3,general,KG5,1000,11,13200000,13200000,13200000,1,1,0,0,8,8,54.5,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,25,52,52,1126,51,88,438,25,37,49,"3,079",228,259,300,29,23,fail
6,mare,4,0,0,general,KG5,1000,11,63600000,38400000,0,1,1,4,1,14,7,55.5,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,37,53,53,5525,675,639,268,35,40,54,"3,817",431,389,131,14,17,fail
7,mare,3,421,4,general,KG5,1000,11,39400000,39400000,16400000,1,1,1,1,9,9,52,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,25,52,52,1177,85,65,255,19,15,49,459,53,32,199,28,14,fail
8,stallion,3,486,7,general,KG5,1000,11,43750000,43750000,43750000,1,1,2,2,4,4,56,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,35,49,49,677,77,54,369,39,28,50,"2,100",202,192,20,2,1,pass
9,gelding,5,487,8,general,KG5,1000,11,42410000,10000000,0,0,0,3,1,25,8,53,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,49,52,52,7328,515,591,297,14,15,57,"3,492",264,272,307,17,18,fail
10,stallion,4,494,0,general,KG5,1000,11,31000000,4000000,2400000,1,0,1,0,14,7,52.5,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,29,52,52,1513,90,122,233,11,13,40,578,46,41,215,18,14,pass
11,mare,3,466,6,general,KG5,1000,11,43400000,43400000,43400000,1,1,3,3,8,8,53,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,25,49,49,202,12,10,202,12,10,38,841,76,96,271,29,40,pass
12,gelding,4,486,7,general,KG5,1000,11,31150000,2400000,0,1,0,1,0,15,5,53.5,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,39,50,50,41,3,2,41,3,2,47,"1,938",177,190,468,42,40,fail
1,stallion,4,479,7,general,KG5,1200,12,36280000,12800000,12800000,1,0,0,0,12,5,55.5,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,29,51,51,1680,115,120,521,30,39,52,"1,224",97,105,163,13,14,pass
2,gelding,3,424,-6,general,KG5,1200,12,21750000,21750000,0,1,1,0,0,6,6,53.5,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,30,52,52,2728,206,209,554,44,47,40,578,46,41,215,18,14,fail
4,gelding,3,500,-9,general,KG5,1200,12,36000000,36000000,16000000,1,1,2,2,9,9,55.5,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,38,53,53,4873,613,604,264,39,43,54,"3,777",330,351,270,24,21,fail
5,mare,5,471,-2,general,KG5,1200,12,39900000,19200000,16800000,1,0,2,2,15,9,52.5,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,25,52,52,1126,51,88,438,25,37,52,"1,084",109,98,212,19,28,fail
6,gelding,4,492,1,general,KG5,1200,12,13800000,13800000,13800000,1,1,0,0,4,4,54.5,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,50,51,51,13375,2001,1833,602,60,61,53,"1,950",204,157,286,33,26,fail
7,mare,4,457,5,general,KG5,1200,12,19600000,19600000,18100000,0,0,2,2,16,14,52,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,35,49,49,677,77,54,369,39,28,57,"7,563",706,715,245,28,32,pass
8,stallion,4,465,-8,general,KG5,1200,12,16250000,14050000,14050000,0,0,2,2,12,7,54,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,35,53,53,6332,1282,965,588,140,113,41,26,0,2,26,0,2,fail
9,gelding,4,445,-5,general,KG5,1200,12,14900000,14900000,4400000,0,0,0,0,8,8,53,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,25,52,52,1177,85,65,255,19,15,52,"3,267",337,318,250,27,28,fail
10,stallion,4,474,-3,general,KG5,1200,12,18800000,15500000,0,0,0,2,2,9,5,54,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,29,52,52,2319,334,244,7,0,0,55,"2,157",224,191,216,13,21,fail
11,stallion,3,459,5,general,KG5,1200,12,21800000,21800000,21800000,0,0,1,1,6,6,51,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,24,51,51,149,2,10,149,2,10,40,939,81,79,307,19,25,pass
12,stallion,4,468,-2,general,KG5,1200,12,55450000,34000000,30000000,1,1,2,0,19,10,57,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,29,52,52,1513,90,122,233,11,13,61,"9,850",886,953,294,25,22,fail
1,mare,4,433,4,general,KG5,1300,12,18400000,18400000,18400000,1,1,0,0,5,4,53.5,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,35,53,53,6332,1282,965,588,140,113,53,"2,334",207,178,220,16,9,pass
2,gelding,4,511,-1,general,KG5,1300,12,35000000,30000000,7600000,0,0,3,3,18,11,55,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,39,50,50,41,3,2,41,3,2,54,"3,777",330,351,270,24,21,fail
3,mare,5,428,-2,general,KG5,1300,12,29120000,4000000,1600000,0,0,1,0,32,12,51,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,39,48,48,968,27,52,55,2,2,36,"1,144",177,100,281,43,26,fail
4,mare,3,455,-6,general,KG5,1300,12,23400000,23400000,23400000,1,1,0,0,6,6,52.5,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,31,52,52,1785,75,112,93,5,4,49,"4,004",301,308,176,11,7,fail
5,gelding,4,480,-9,general,KG5,1300,12,29200000,4000000,4000000,1,0,1,0,18,10,51,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,22,49,49,276,28,21,276,28,21,61,"9,850",886,953,294,25,22,pass
6,stallion,4,462,-6,general,KG5,1300,12,47100000,45600000,1600000,2,2,1,1,15,9,56.5,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,37,53,53,5525,675,639,268,35,40,53,"1,950",204,157,286,33,26,fail
7,stallion,4,525,17,general,KG5,1300,12,28400000,0,0,1,0,1,0,10,5,51,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,25,49,49,202,12,10,202,12,10,51,"3,735",344,346,164,13,17,fail
8,stallion,5,461,3,general,KG5,1300,12,24250000,0,0,1,0,0,0,21,7,52,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,42,53,53,3147,254,266,128,8,9,41,26,0,2,26,0,2,fail
9,stallion,4,451,13,general,KG5,1300,12,60450000,45200000,2000000,1,1,2,1,20,10,56,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,35,49,49,677,77,54,369,39,28,57,"7,563",706,715,245,28,32,fail
10,stallion,4,450,-2,general,KG5,1300,12,15050000,0,0,0,0,2,0,7,2,54,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,26,51,51,1041,59,57,211,14,13,56,"5,983",725,675,336,34,29,fail
11,stallion,5,475,-5,general,KG5,1300,12,30100000,17300000,3200000,0,0,1,0,20,11,54,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,49,52,52,7328,515,591,297,14,15,57,"3,492",264,272,307,17,18,pass
1,gelding,4,492,0,general,MG4,1700,12,0,0,0,0,0,0,0,3,3,51,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,42,48,50,2186,58,71,27,1,0,63,"8,703",1148,989,151,9,8,fail
2,stallion,3,518,3,general,MG4,1700,12,0,0,0,0,0,0,0,1,1,52.5,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,25,52,52,1126,51,88,438,25,37,54,"3,777",330,351,270,24,21,fail
3,stallion,3,477,6,general,MG4,1700,12,0,0,0,0,0,0,0,8,8,52,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,29,52,52,1513,90,122,233,11,13,60,"7,982",693,700,152,6,6,fail
4,stallion,3,484,-9,general,MG4,1700,12,0,0,0,0,0,0,0,4,4,53,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,29,52,52,2319,334,244,7,0,0,56,"10,382",794,924,342,12,25,fail
5,stallion,3,498,0,general,MG4,1700,12,113600000,113600000,90600000,4,4,1,1,6,6,57,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,30,52,52,2728,206,209,554,44,47,45,552,67,64,245,32,36,pass
6,gelding,5,456,-3,general,MG4,1700,12,34360000,2200000,0,0,0,0,0,31,11,52,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,42,53,53,3147,254,266,128,8,9,52,"1,224",97,105,163,13,14,fail
7,gelding,4,462,-2,general,MG4,1700,12,43350000,43350000,5400000,1,1,0,0,21,12,53,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,24,51,52,1101,141,134,447,56,49,61,"8,146",724,827,198,14,10,fail
8,stallion,4,459,1,general,MG4,1700,12,30450000,11550000,0,0,0,1,1,16,10,52.5,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,39,50,50,41,3,2,41,3,2,38,841,76,96,271,29,40,pass
9,mare,3,424,9,general,MG4,1700,12,5400000,5400000,5400000,0,0,0,0,6,6,51,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,22,49,49,309,42,31,309,42,31,56,"5,983",725,675,336,34,29,fail
10,stallion,3,515,-9,general,MG4,1700,12,26200000,26200000,26200000,0,0,1,1,10,10,53.5,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,35,53,53,6332,1282,965,588,140,113,56,"10,382",794,924,342,12,25,pass
11,mare,4,476,18,general,MG4,1700,12,0,0,0,0,0,0,0,10,5,51,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,25,49,49,202,12,10,202,12,10,53,"2,334",207,178,220,16,9,fail
12,stallion,3,500,2,general,MG4,1700,12,0,0,0,0,0,0,0,6,6,51,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,22,49,49,276,28,21,276,28,21,57,"2,101",140,175,158,8,13,fail
2,stallion,5,508,-7,Deasang,M_open,1200,12,588030000,130900000,107800000,11,1,6,3,24,7,58,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,35,53,53,6332,1282,965,588,140,113,45,552,67,64,245,32,36,fail
5,stallion,3,532,2,Deasang,M_open,1200,12,270900000,270900000,160900000,5,5,0,0,7,7,55.5,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,34,52,52,4440,688,593,476,80,57,47,"1,938",177,190,468,42,40,fail
7,stallion,4,484,15,Deasang,M_open,1200,12,311300000,166000000,0,5,2,1,0,9,4,58,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,30,52,52,2728,206,209,554,44,47,47,"1,938",177,190,468,42,40,fail
8,stallion,6,439,-13,Deasang,M_open,1200,12,72800000,72800000,0,1,1,1,1,8,8,58,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,22,49,49,309,42,31,309,42,31,59,"3,781",261,316,299,26,23,fail
9,gelding,5,499,-3,Deasang,M_open,1200,12,562970000,285100000,0,7,1,3,2,15,4,58,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,24,51,52,1101,141,134,447,56,49,60,"8,760",762,813,305,33,36,pass
1,mare,5,482,5,Deasang,M_open,1400,13,593520000,255500000,99000000,7,2,5,1,19,7,57,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,34,52,52,4440,688,593,476,80,57,47,"1,938",177,190,468,42,40,pass
2,mare,4,490,0,Deasang,M_open,1400,13,212950000,81900000,81900000,4,1,3,1,12,6,57,good,fine,23,13.9,504,31.2,1547,0,5.4,1.2,67.5,35,53,53,6332,1282,965,588,140,113,59,"3,781",261,316,299,26,23,fail
